거래번호,지점,고객타입,성별,제품군,단가,수량,매출액,날짜,시간,지불방식,매출원가,매출이익
307-85-2293,B,비회원,남성,홈데코,"52,291",5,"261,455",2019-03-07,13:58,신용카드,"251,400","10,055"
743-04-1105,B,회원,남성,헬스/뷰티,"101,109",9,"909,981",2019-03-30,14:43,신용카드,"874,980","35,001"
423-57-2993,B,비회원,남성,스포츠/여행,"97,126",6,"582,756",2019-03-27,19:18,신용카드,"560,340","22,416"
894-41-5205,C,비회원,여성,식품/음료,"44,907",8,"359,256",2019-01-19,19:39,신용카드,"345,440","13,816"
275-28-0149,A,비회원,남성,스포츠/여행,"66,238",1,"66,238",2019-02-25,16:21,현금,"63,690","2,548"
101-17-6199,A,비회원,남성,식품/음료,"47,622",7,"333,354",2019-03-13,19:44,신용카드,"320,530","12,824"
423-80-0988,C,비회원,남성,스포츠/여행,"79,456",2,"158,912",2019-01-30,19:42,신용카드,"152,800","6,112"
548-46-9322,B,비회원,남성,식품/음료,"41,496",10,"414,960",2019-02-20,15:24,신용카드,"399,000","15,960"
505-02-0892,B,회원,남성,헬스/뷰티,"44,273",8,"354,184",2019-02-25,14:12,신용카드,"340,560","13,624"
234-65-2137,C,비회원,남성,홈데코,"99,403",10,"994,030",2019-01-16,13:32,현금,"955,800","38,230"
687-47-8271,A,비회원,남성,패션/액세서리,"102,939",10,"1,029,390",2019-02-08,16:20,신용카드,"989,800","39,590"
796-32-9050,A,비회원,남성,식품/음료,"53,331",6,"319,986",2019-01-19,16:31,현금,"307,680","12,306"
105-31-1824,A,회원,남성,스포츠/여행,"72,301",7,"506,107",2019-02-01,15:10,신용카드,"486,640","19,467"
249-42-3782,A,비회원,남성,헬스/뷰티,"72,810",5,"364,050",2019-01-03,11:36,신용카드,"350,050","14,000"
316-55-4634,B,회원,남성,식품/음료,"83,252",5,"416,260",2019-01-26,12:45,신용카드,"400,250","16,010"
733-33-4967,C,비회원,남성,컴퓨터 주변기기,"21,684",8,"173,472",2019-03-03,19:17,현금,"166,800","6,672"
608-27-6295,B,회원,남성,컴퓨터 주변기기,"55,006",6,"330,036",2019-01-19,17:34,신용카드,"317,340","12,696"
414-12-7047,B,비회원,남성,식품/음료,"20,582",8,"164,656",2019-01-18,12:04,신용카드,"158,320","6,336"
827-26-2100,A,회원,남성,홈데코,"35,194",9,"316,746",2019-03-21,16:21,신용카드,"304,560","12,186"
175-54-2529,A,회원,남성,식품/음료,"23,057",8,"184,456",2019-03-03,17:01,신용카드,"177,360","7,096"
139-52-2867,C,비회원,여성,패션/액세서리,"23,410",7,"163,870",2019-02-13,10:50,신용카드,"157,570","6,300"
407-63-8975,A,비회원,남성,식품/음료,"76,835",6,"461,010",2019-03-23,19:16,신용카드,"443,280","17,730"
342-65-4817,C,회원,남성,헬스/뷰티,"90,272",3,"270,816",2019-01-28,16:47,신용카드,"260,400","10,416"
130-98-8941,C,비회원,남성,패션/액세서리,"66,830",7,"467,810",2019-02-09,10:00,현금,"449,820","17,990"
434-83-9547,C,회원,남성,식품/음료,"40,009",8,"320,072",2019-01-23,11:51,현금,"307,760","12,312"
851-28-6367,A,회원,남성,스포츠/여행,"16,120",10,"161,200",2019-03-23,10:55,신용카드,"155,000","6,200"
824-88-3614,C,비회원,남성,헬스/뷰티,"35,682",8,"285,456",2019-01-25,15:00,신용카드,"274,480","10,976"
586-25-0848,A,비회원,여성,스포츠/여행,"12,834",7,"89,838",2019-03-04,11:19,신용카드,"86,380","3,458"
895-66-0685,B,회원,남성,식품/음료,"18,803",3,"56,409",2019-03-05,19:46,신용카드,"54,240","2,169"
305-14-0245,B,회원,여성,홈데코,"98,270",8,"786,160",2019-03-03,19:00,신용카드,"755,920","30,240"
732-04-5373,B,회원,남성,홈데코,"48,329",4,"193,316",2019-02-08,10:53,현금,"185,880","7,436"
400-60-7251,A,비회원,남성,홈데코,"77,033",1,"77,033",2019-02-10,12:50,신용카드,"74,070","2,963"
593-65-1552,C,비회원,여성,홈데코,"72,602",4,"290,408",2019-01-28,20:50,신용카드,"279,240","11,168"
284-34-9626,B,비회원,여성,홈데코,"80,122",3,"240,366",2019-02-11,10:39,신용카드,"231,120","9,246"
437-58-8131,B,비회원,여성,패션/액세서리,"76,461",2,"152,922",2019-01-15,13:41,신용카드,"147,040","5,882"
286-43-6208,C,비회원,여성,식품/음료,"91,312",9,"821,808",2019-03-16,19:08,현금,"790,200","31,608"
641-43-2399,B,비회원,남성,홈데코,"26,572",4,"106,288",2019-01-26,20:23,신용카드,"102,200","4,088"
831-07-6050,A,비회원,남성,컴퓨터 주변기기,"34,018",5,"170,090",2019-03-19,11:30,신용카드,"163,550","6,540"
556-86-3144,C,회원,여성,패션/액세서리,"77,262",1,"77,262",2019-01-13,19:30,현금,"74,290","2,972"
848-24-9445,C,회원,남성,헬스/뷰티,"45,448",2,"90,896",2019-03-26,18:03,현금,"87,400","3,496"
856-22-8149,A,비회원,여성,홈데코,"26,302",1,"26,302",2019-03-23,10:13,신용카드,"25,290","1,012"
699-01-4164,C,비회원,남성,헬스/뷰티,"43,160",4,"172,640",2019-03-12,19:58,신용카드,"166,000","6,640"
420-11-4919,C,회원,여성,식품/음료,"74,246",5,"371,230",2019-02-17,19:57,신용카드,"356,950","14,280"
606-80-4905,C,회원,여성,스포츠/여행,"19,916",6,"119,496",2019-01-29,10:01,신용카드,"114,900","4,596"
542-41-0513,B,회원,여성,컴퓨터 주변기기,"59,790",4,"239,160",2019-03-15,11:57,현금,"229,960","9,200"
426-39-2418,C,비회원,남성,컴퓨터 주변기기,"63,866",7,"447,062",2019-01-14,10:02,현금,"429,870","17,192"
875-46-5808,B,회원,남성,헬스/뷰티,"26,936",10,"269,360",2019-02-06,14:51,신용카드,"259,000","10,360"
394-43-4238,B,회원,남성,홈데코,"18,481",5,"92,405",2019-02-15,12:42,신용카드,"88,850","3,555"
749-24-1565,A,비회원,여성,헬스/뷰티,"23,951",9,"215,559",2019-01-03,12:02,신용카드,"207,270","8,289"
672-51-8681,C,회원,여성,컴퓨터 주변기기,"69,316",9,"623,844",2019-01-04,18:19,신용카드,"599,850","23,994"
263-87-5680,C,회원,여성,홈데코,"29,671",10,"296,710",2019-03-18,17:38,신용카드,"285,300","11,410"
573-58-9734,B,비회원,여성,패션/액세서리,"31,585",3,"94,755",2019-03-28,13:41,신용카드,"91,110","3,645"
817-69-8206,B,비회원,여성,컴퓨터 주변기기,"103,719",9,"933,471",2019-03-02,19:42,신용카드,"897,570","35,901"
888-02-0338,A,비회원,남성,컴퓨터 주변기기,"27,279",9,"245,511",2019-01-25,20:24,신용카드,"236,070","9,441"
677-11-0152,C,비회원,여성,식품/음료,"96,990",9,"872,910",2019-01-16,18:08,현금,"839,340","33,570"
142-63-6033,B,비회원,남성,홈데코,"96,054",5,"480,270",2019-03-20,19:17,신용카드,"461,800","18,470"
656-16-1063,B,비회원,남성,스포츠/여행,"48,277",3,"144,831",2019-01-04,13:24,신용카드,"139,260","5,571"
891-58-8335,B,회원,여성,스포츠/여행,"30,794",7,"215,558",2019-03-11,15:53,현금,"207,270","8,288"
802-43-8934,A,비회원,남성,홈데코,"19,011",1,"19,011",2019-03-22,15:05,신용카드,"18,280",731
560-30-5617,B,비회원,여성,스포츠/여행,"25,761",5,"128,805",2019-03-24,18:27,현금,"123,850","4,955"
319-74-2561,A,회원,여성,컴퓨터 주변기기,"98,426",3,"295,278",2019-02-21,16:55,현금,"283,920","11,358"
549-03-9315,B,비회원,남성,패션/액세서리,"98,665",8,"789,320",2019-02-12,12:58,신용카드,"758,960","30,360"
790-29-1172,B,비회원,여성,식품/음료,"59,634",3,"178,902",2019-03-10,18:59,신용카드,"172,020","6,882"
239-36-3640,B,비회원,남성,컴퓨터 주변기기,"47,164",6,"282,984",2019-01-31,13:44,신용카드,"272,100","10,884"
468-01-2051,B,비회원,남성,식품/음료,"64,563",7,"451,941",2019-03-06,13:46,신용카드,"434,560","17,381"
389-25-3394,C,비회원,남성,컴퓨터 주변기기,"12,282",5,"61,410",2019-02-17,18:06,현금,"59,050","2,360"
279-62-1445,C,회원,여성,패션/액세서리,"13,042",1,"13,042",2019-02-21,12:38,현금,"12,540",502
213-72-6612,A,비회원,남성,식품/음료,"44,980",2,"89,960",2019-03-20,15:56,현금,"86,500","3,460"
746-68-6593,C,회원,여성,스포츠/여행,"90,646",2,"181,292",2019-01-11,14:29,신용카드,"174,320","6,972"
836-82-5858,B,회원,남성,헬스/뷰티,"72,145",9,"649,305",2019-01-26,19:14,신용카드,"624,330","24,975"
583-72-1480,C,회원,남성,컴퓨터 주변기기,"38,542",4,"154,168",2019-01-31,16:24,신용카드,"148,240","5,928"
